info,name,price
王昊奋 （著） | 电子工业出版社 | 9787121357152 | 2019-2-1出版 | 2019-2-26 上架,自然语言处理实践：聊天机器人技术原理与应用,51.75
齐伟 （著） | 电子工业出版社 | 9787121355035 | 2019-2-1出版 | 2019-2-26 上架,跟老齐学Python：Django实战（第2版）,59.25
范力旻 （著） | 机械工业出版社* | 9787111612841 | 2019-2-1出版 | 2019-2-26 上架,单片机原理及接口技术,31.84
亨利＆#8226;克拉斯曼（Henry Krasemann） 迈克尔＆#8226;弗里德里希（Michael Friedrichs） （著） | 机械工业出版社* | 9787111615736 | 2019-2-1出版 | 2019-2-26 上架,玩转乐高BOOST ：超好玩的创意搭建编程指南,55.20
文仲慧 （著） | 电子工业出版社 | 9787121353895 | 2019-1-1出版 | 2019-2-26 上架,密码学浅谈,54.40
[美]W. 理查德·史蒂文斯(W. Richard Stevens) （著） | 机械工业出版社 | 9787111617778 | 2019-2-22出版 | 2019-2-26 上架,TCP/IP详解 卷3：TCP事务协议、HTTP、NNTP和UNIX域协议,41.30
邱祎  熊谱翔  朱天龙 （著） | 机械工业出版社 | 9787111619345 | 2019-2-25出版 | 2019-2-26 上架,嵌入式实时操作系统：RT-Thread设计与实现,62.30
王恺 王志 李涛 朱洪文 （著） | 机械工业出版社 | 9787111620129 | 2019-2-25出版 | 2019-2-26 上架,Python语言程序设计,34.30
[美] 琳达·纳尔(Linda Null)  朱莉娅·洛博( Julia Lobur)宾夕法尼亚州立大学 （著） | 机械工业出版社 | 9787111616368 | 2019-2-21出版 | 2019-2-26 上架,计算机组成与体系结构（原书第4版）,90.30
[美]乔治·特鲁希略（George Trujillo）;查尔斯·吉姆（Charles Kim）;史蒂夫·琼斯（Steve Jones）;隆美尔·加西亚（Rommel Garcia） （著） | 人民邮电出版社 | 9787115497543 | 2019-2-1出版 | 2019-2-25 上架,Hadoop虚拟化,68.53
许永超 （著） | 人民邮电出版社 | 9787115500359 | 2019-3-1出版 | 2019-2-25 上架,Word/Excel/PPT 2019办公应用实战从入门到精通,34.65
金海 （著） | 人民邮电出版社 | 9787115503046 | 2019-2-1出版 | 2019-2-25 上架,中国网络空间安全前沿科技发展报告 2018,129.36
[英]安迪?巴德（Andy Budd）;[瑞典]埃米尔?比约克隆德（Emil Bj?rklund） （著） | 人民邮电出版社 | 9787115506900 | 2019-2-1出版 | 2019-2-25 上架,精通CSS 高级Web标准解决方案 第3版,76.23
孙岩志 李福清  张斌 （著） | 人民邮电出版社 | 9787115502728 | 2019-3-1出版 | 2019-2-25 上架,CATIA V5-6R2017中文版从入门到精通,76.23
孙占臣 陈振朋 毛重 （著） | 人民邮电出版社 | 9787115503565 | 2019-3-1出版 | 2019-2-25 上架,CATIA V5-6R2017中文版基础教程,46.05
明恒毅 （著） | 人民邮电出版社 | 9787115504012 | 2019-3-1出版 | 2019-2-25 上架,自制AI图像搜索引擎,45.43
侯炳耀 （著） | 人民邮电出版社 | 9787115505675 | 2019-3-1出版 | 2019-2-25 上架,Office 2019办公应用实战从入门到精通,34.65
朱忠华 （著） | 电子工业出版社 | 9787121359026 | 2019-1-1出版 | 2019-2-25 上架,深入理解Kafka：核心设计与实践原理,74.25
威链优创 （著） | 人民邮电出版社 | 9787115493361 | 2019-2-1出版 | 2019-2-24 上架,软件测试技术实战教程 敏捷、Selenium与Jmeter（微课版）,39.84
张桓 李金靖 （著） | 人民邮电出版社 | 9787115501936 | 2019-2-1出版 | 2019-2-24 上架,Java Web动态网站开发（微课版）,38.40
陈哲 （著） | 电子工业出版社 | 9787121356209 | 2019-2-1出版 | 2019-2-24 上架,活用数据：驱动业务的数据分析实战,51.75
徐宏洲 （著） | 清华大学出版社 | 9787302512325 | 2018-12-1出版 | 2019-2-24 上架,给孩子的24堂经典阅读课,47.84
阿布舍克·维贾亚瓦吉亚（Abhishek Vijayvargia） （著） | 人民邮电出版社 | 9787115501356 | 2019-2-1出版 | 2019-2-23 上架,Python机器学习,63.20
张天飞 （著） | 人民邮电出版社 | 9787115502261 | 2019-2-1出版 | 2019-2-23 上架,奔跑吧 Linux内核 入门篇,71.20
CAE技术联盟 （著） | 清华大学出版社 | 9787302507420 | 2019-1-1出版 | 2019-2-22 上架,AutoCAD 2018中文版入门与提高——机械设计,71.92
孙芳 （著） | 清华大学出版社 | 9787302509981 | 2019-1-1出版 | 2019-2-22 上架,中文版Premiere Pro视频编辑剪辑设计与制作全视频实战228例,79.20
罗杰·格里姆斯(Roger A. Grimes) （著） | 清华大学出版社 | 9787302515265 | 2019-1-1出版 | 2019-2-22 上架,反黑客的艺术,78.40
杰罗姆·巴同（Jér？me Baton）  [英]里克·范·布鲁根（Rik Van Bruggen） （著） | 清华大学出版社 | 9787302519188 | 2019-2-1出版 | 2019-2-22 上架,Neo4j 3.x入门经典,55.20
刘俊哲 刘中正 刘瑞恒 （著） | 清华大学出版社 | 9787302519393 | 2019-2-1出版 | 2019-2-22 上架,Microsoft Project 2016管理实践,55.20
胡仁喜 闫聪聪 （著） | 机械工业出版社* | 9787111615675 | 2019-1-1出版 | 2019-2-22 上架,LABVIEW 2018中文版虚拟仪器从入门到精通,71.20
（美）伊恩·福斯特，（美）丹尼斯·B甘农 （著） | 机械工业出版社 | 9787111606727E | 2018-9-1出版 | 2019-2-22 上架,(特价书)云计算：科学与工程实践指南,33.12
"（美）弗兰克·徐（Frank Tsui）,（美）芭芭拉·博纳尔（Barbara Bernal） （著） | 机械工业出版社 | 9787111607236E | 2018-9-1出版 | 2019-2-22 上架",(特价书)软件工程导论（原书第4版）,33.12
陆凌牛 （著） | 机械工业出版社 | 9787111416999E | 2013-3-1出版 | 2019-2-22 上架,(特价书)HTML 5与CSS 3权威指南(第2版.下册),28.32
窦万峰 （著） | 机械工业出版社 | 9787111413653E | 2013-4-1出版 | 2019-2-22 上架,(特价书)软件工程实验教程(第2版),16.80
李林功 （著） | 机械工业出版社 | 9787111459958E | 2014-3-21出版 | 2019-2-22 上架,(特价书)单片机原理与应用(第2版),16.80
何勇;陈晓峰 （著） | 机械工业出版社 | 9787111481003E | 2014-10-1出版 | 2019-2-22 上架,(特价书)Greenplum企业应用实战,33.12
创锐设计 （著） | 机械工业出版社 | 9787111580775E | 2017-10-1出版 | 2019-2-22 上架,(特价书)数码摄影后期处理秘笈：Photoshop CC商品照片修图·抠图· 调色·合成·特效,28.32
TMQ精准测试实践团队 （著） | 机械工业出版社 | 9787111571179E | 2018-3-1出版 | 2019-2-22 上架,(特价书)不测的秘密：精准测试之路,33.12
[美] 特拉维斯·鲁德米克（Travis Lowdermilk） 杰茜卡·里奇（Jessica Rich） （著） | 机械工业出版社 | 9787111604426E | 2018-8-1出版 | 2019-2-22 上架,(特价书)客户驱动的产品开发,33.12
[美] 帕特里克·J.林奇（Patrick J. Lynch）  莎拉·霍顿（Sarah Horton） （著） | 机械工业出版社 | 9787111607984E | 2018-8-29出版 | 2019-2-22 上架,(特价书)Web风格:用户体验设计基本原则及实践(原书第4版),61.92
马海平  于俊  吕昕  向海 （著） | 机械工业出版社 | 9787111608103E | 2018-9-3出版 | 2019-2-22 上架,(特价书)Spark机器学习进阶实战,28.32
[美]塔里克·法鲁克（Tariq Farooq）;[美]查尔斯·金（Charles Kim）;[印度]尼廷·文格勒卡（Nitin Vengurlekar）;[印度]斯里达尔·阿万查(Sridhar Avantsa）;[澳]盖伊·哈里森（Guy Harrison）;[美]赛义德·加法尔 （著） | 机械工业出版社 | 9787111607366E | 2018-9-14出版 | 2019-2-22 上架,(特价书)Oracle Exadata专家手册,57.12
杨保华 戴王剑 曹亚仑 （著） | 机械工业出版社 | 9787111608523E | 2018-9-14出版 | 2019-2-22 上架,(特价书)Docker技术入门与实战 第3版,42.72
赵军 （著） | 机械工业出版社 | 9787111607427E | 2018-9-7出版 | 2019-2-22 上架,(特价书)Word排版技巧必学必会,28.32
[美]亚伦·纽科姆（Aaron Newcomb） （著） | 机械工业出版社 | 9787111609094E | 2018-9-14出版 | 2019-2-22 上架,(特价书)Linux创客实战,28.32
（美）拉姆什·沙尔达（Ramesh Sharda）;（美）杜尔森·德伦（Dursun Delen) ;（美）埃弗瑞姆·特班（Efraim Turban） （著） | 机械工业出版社 | 9787111607854E | 2018-9-1出版 | 2019-2-22 上架,(特价书)商务智能：数据分析的管理视角（英文版·第4版）,52.32
朱荣鑫   张天    黄迪璇 （著） | 机械工业出版社 | 9787111608684E | 2018-9-20出版 | 2019-2-22 上架,(特价书)Spring Cloud微服务架构进阶,42.72
吴茂贵 王冬  李涛  杨本法 （著） | 机械工业出版社 | 9787111609728E | 2018-9-21出版 | 2019-2-22 上架,(特价书)Python深度学习：基于TensorFlow,37.92
创锐设计 （著） | 机械工业出版社 | 9787111607564E | 2018-9-20出版 | 2019-2-22 上架,(特价书)Premiere Pro CC淘宝天猫网店商品视频与动态广告制作实战从入门到精通,38.30
[美]  迈克·阿瑟顿（Mike Atherton）  卡丽·哈恩（Carrie Hane） （著） | 机械工业出版社 | 9787111608967E | 2018-9-27出版 | 2019-2-22 上架,(特价书)内容即未来：数字产品规划与建模,33.12
[美] 阿米特·拉索尔（Amit Rathore） 弗朗西斯·阿维拉（Francis Avila） （著） | 机械工业出版社 | 9787111609384E | 2018-9-29出版 | 2019-2-22 上架,(特价书)Clojure编程实战（原书第2版）,37.92
帅峰云 黄腾 宋洋 （著） | 机械工业出版社 | 9787111609568E | 2018-9-30出版 | 2019-2-22 上架,(特价书)手机安全和可信应用开发指南:TrustZone与OP-TEE技术详解,37.92
杜德慧 （著） | 机械工业出版社 | 9787111609599E | 2018-10-8出版 | 2019-2-22 上架,(特价书)UML建模分析与设计：基于MDA的软件开发,23.52
[美]梁勇（Y. Daniel Liang） （著） | 机械工业出版社 | 9787111610038E | 2018-10-11出版 | 2019-2-22 上架,(特价书)Java语言程序设计与数据结构（进阶篇）（原书第11版）,47.52
周志明 （著） | 机械工业出版社 | 9787111610496E | 2018-10-11出版 | 2019-2-22 上架,(特价书)智慧的疆界：从图灵机到人工智能,33.12
魏坤 （著） | 机械工业出版社 | 9787111607571E | 2018-10-8出版 | 2019-2-22 上架,(特价书)Julia语言程序设计,47.52
刘琼 （著） | 机械工业出版社 | 9787111607380E | 2018-10-11出版 | 2019-2-22 上架,(特价书)Excel VBA案例实战从入门到精通（视频自学版）,28.70
薛云峰 （著） | 机械工业出版社 | 9787111610434E | 2018-10-17出版 | 2019-2-22 上架,(特价书)深度学习实践：基于Caffe的解析,33.12
[美] 丹尼尔·怀特纳克（Daniel Whitenack） （著） | 机械工业出版社 | 9787111609797E | 2018-10-16出版 | 2019-2-22 上架,(特价书)机器学习：Go语言实现,28.32
史丹青 （著） | 机械工业出版社 | 9787111610045E | 2018-10-18出版 | 2019-2-22 上架,(特价书)生成对抗网络入门指南,33.12
余洪春 （著） | 机械工业出版社 | 9787111610021E | 2018-10-17出版 | 2019-2-22 上架,(特价书)DevOps和自动化运维实践,42.72
[印度]曼普里特·辛格·古特（Manpreet Singh Ghotra） 拉蒂普·杜瓦（Rajdeep Dua） （著） | 机械工业出版社 | 9787111611783E | 2018-10-23出版 | 2019-2-22 上架,(特价书)TensorFlow神经网络编程,33.12
校宝在线 孙琳 蒋阳波 汪建成 项斌 （著） | 机械工业出版社 | 9787111610458E | 2018-10-18出版 | 2019-2-22 上架,(特价书)PyTorch机器学习从入门到实战,28.32
曹源 张翀 丁兆云 马行空 （著） | 机械工业出版社 | 9787111611776E | 2018-10-24出版 | 2019-2-22 上架,(特价书)DAG区块链技术：原理与实践,37.92
董文娟 尚小冬 张军 （著） | 机械工业出版社 | 9787111611912E | 2018-10-25出版 | 2019-2-22 上架,(特价书)OpenStack CI/CD：原理与实践,33.12
[印] 佩瑟鲁·拉吉（Pethuru Raj）阿诺帕马·拉曼（Anupama Raman）德维亚·纳加拉杰（Dhivya Nagaraj）悉达多·杜格拉拉 (Siddhartha Duggirala) （著） | 机械工业出版社 | 9787111611752E | 2018-10-24出版 | 2019-2-22 上架,(特价书)高性能计算系统与大数据分析,37.92
[美] 凯·霍斯特曼（Cay Horstmann） 兰斯·尼塞斯（Rance Necaise） （著） | 机械工业出版社 | 9787111611479E | 2018-10-24出版 | 2019-2-22 上架,(特价书)Python程序设计（原书第2版）,57.12
华为云容器服务团队 杜军 （著） | 机械工业出版社 | 9787111611929E | 2018-10-29出版 | 2019-2-22 上架,(特价书)云原生分布式存储基石：etcd深入解析,37.92
[美]汤孟岩（Yan Solihin） （著） | 机械工业出版社 | 9787111610410E | 2018-10-25出版 | 2019-2-22 上架,(特价书)并行多核体系结构基础,47.52
朱敏 陈黎 李勤 （著） | 机械工业出版社 | 9787111611394E | 2018-10-30出版 | 2019-2-22 上架,(特价书)计算机网络课程设计,18.72
张洪波 丁卫颖 郑铮 （著） | 机械工业出版社 | 9787111611301E | 2018-10-29出版 | 2019-2-22 上架,(特价书)零基础轻松学Java,33.12
[印度]A. 奥利（A. Ohri） （著） | 机械工业出版社 | 9787111611950E | 2018-11-6出版 | 2019-2-22 上架,(特价书)R用户Python学习指南：数据科学方法,33.12
[美] 卢博米尔·佩尔科维奇（Ljubomir Perkovic） （著） | 机械工业出版社 | 9787111611608E | 2018-11-2出版 | 2019-2-22 上架,(特价书)程序设计导论：Python计算与应用开发实践（原书第2版）,47.52
（印）纳拉辛哈·卡鲁曼希（Narasimha Karumanchi） （著） | 机械工业出版社 | 9787111612414E | 2018-10-31出版 | 2019-2-22 上架,(特价书)数据结构与算法经典问题解析（原书第2版）,37.92
杨章显 （著） | 机械工业出版社 | 9787111612209E | 2018-11-6出版 | 2019-2-22 上架,(特价书)Service Mesh实战：基于Linkerd和Kubernetes的微服务实践,33.12
王红卫 （著） | 机械工业出版社 | 9787111612827E | 2018-11-14出版 | 2019-2-22 上架,(特价书)中老年人智能手机应用快易通 第2版,26.40
