APG,BPG,FG,FT,PTs,RPG,SPG,Three_PT,career_minute,career_play,player_contract,player_height,player_name,player_num,player_position,player_salary,player_team,player_weight
场均助攻2.2次,场均盖帽0.41个,投篮命中率为45.3%,罚球命中率为73.1%,场均得分17.3分,场均篮板5.9个,场均抢断0.61次,三分命中率为33.5%,职业生涯场均出战32.1分钟,职业生涯每赛季场均出场73场,4年865万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,2.06米/6尺9,凯尔-库兹马,0,F,本年薪金：197万美元,洛杉矶湖人,100公斤/220磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,2.03米/6尺8,迪伦-温德勒,NULL,G-F,本年薪金：万美元,克利夫兰骑士,88公斤/194磅
,,,,,,,,,该球员从未在NBA出场过。,双向合同，2019年夏天签,2.01米/6尺7,小扎克-诺维尔,17,F-G,本年薪金：万美元,洛杉矶湖人,107公斤/235磅
场均助攻0.6次,场均盖帽0.06个,投篮命中率为39.9%,罚球命中率为81.8%,场均得分6.5分,场均篮板1.3个,场均抢断0.28次,三分命中率为39.7%,职业生涯场均出战14.5分钟,职业生涯每赛季场均出场37场,1年210万美元，2019年夏天签，2020年到期,1.93米/6尺4,特洛伊-丹尼尔斯,30,G,本年薪金：210万美元,洛杉矶湖人,93公斤/205磅
场均助攻8.4次,场均盖帽0.14个,投篮命中率为45.8%,罚球命中率为59.5%,场均得分10.1分,场均篮板4.8个,场均抢断1.64次,三分命中率为31.7%,职业生涯场均出战31.2分钟,职业生涯每赛季场均出场59场,2年518万美元，2019年夏天签，2021年到期,1.85米/6尺1,拉简-隆多,9,G,本年薪金：256万美元,洛杉矶湖人,84公斤/186磅
场均助攻2.1次,场均盖帽0.03个,投篮命中率为47.8%,罚球命中率为79.1%,场均得分7.7分,场均篮板2.0个,场均抢断0.31次,三分命中率为42.4%,职业生涯场均出战17.4分钟,职业生涯每赛季场均出场28场,2年600万美元，2019年夏天签，2021年到期,1.88米/6尺2,奎因-库克,2,G,本年薪金：292万美元,洛杉矶湖人,81公斤/179磅
场均助攻3.5次,场均盖帽1.26个,投篮命中率为46.0%,罚球命中率为74.2%,场均得分22.1分,场均篮板11.0个,场均抢断1.44次,三分命中率为34.2%,职业生涯场均出战32.5分钟,职业生涯每赛季场均出场57场,1年350万美元，2019年夏天签，2020年到期,2.11米/6尺11,德马库斯-考辛斯,15,C,本年薪金：350万美元,洛杉矶湖人,122公斤/270磅
场均助攻1.9次,场均盖帽0.21个,投篮命中率为43.1%,罚球命中率为78.2%,场均得分12.0分,场均篮板2.9个,场均抢断1.00次,三分命中率为36.3%,职业生涯场均出战29.0分钟,职业生涯每赛季场均出场48场,2年970万美元，2019年夏天签，2021年到期，2020年球员选项,1.88米/6尺2,埃弗里-布拉德利,11,G,本年薪金：476万美元,洛杉矶湖人,82公斤/180磅
场均助攻1.5次,场均盖帽0.19个,投篮命中率为46.5%,罚球命中率为72.7%,场均得分7.6分,场均篮板3.3个,场均抢断0.82次,三分命中率为39.2%,职业生涯场均出战22.8分钟,职业生涯每赛季场均出场65场,1年260万美元，2019年夏天签，2020年到期,2.01米/6尺7,贾里德-杜德利,10,F,本年薪金：260万美元,洛杉矶湖人,102公斤/225磅
场均助攻2.5次,场均盖帽0.31个,投篮命中率为43.9%,罚球命中率为76.6%,场均得分5.9分,场均篮板2.1个,场均抢断0.76次,三分命中率为39.8%,职业生涯场均出战17.6分钟,职业生涯每赛季场均出场31场,2年550万美元，2019年夏天签，2021年到期,1.96米/6尺5,亚历克斯-卡鲁索,4,G,本年薪金：264万美元,洛杉矶湖人,84公斤/186磅
场均助攻0.4次,场均盖帽1.52个,投篮命中率为57.0%,罚球命中率为58.1%,场均得分7.9分,场均篮板5.0个,场均抢断0.39次,三分命中率为6.1%,职业生涯场均出战17.1分钟,职业生涯每赛季场均出场48场,2年820万美元，2019年夏天签，2021年到期,2.13米/7尺0,贾维尔-麦基,7,C,本年薪金：394万美元,洛杉矶湖人,122公斤/270磅
场均助攻1.6次,场均盖帽0.19个,投篮命中率为41.2%,罚球命中率为79.9%,场均得分11.9分,场均篮板3.3个,场均抢断1.16次,三分命中率为34.5%,职业生涯场均出战29.7分钟,职业生涯每赛季场均出场78场,2年1600万美元，2019年夏天签，2021年到期,1.96米/6尺5,肯塔维厄斯-考德威尔-波普,1,G,本年薪金：769万美元,洛杉矶湖人,93公斤/205磅
场均助攻2.1次,场均盖帽2.43个,投篮命中率为52.0%,罚球命中率为80.0%,场均得分24.3分,场均篮板10.6个,场均抢断1.39次,三分命中率为32.0%,职业生涯场均出战34.8分钟,职业生涯每赛季场均出场67场,5年1.3亿美元，2015年夏天签，2016年夏天生效，2021年夏天到期，2020-21赛季球员选项,2.08米/6尺10,安东尼-戴维斯,3,F-C,本年薪金：2709万美元,洛杉矶湖人,115公斤/253磅
场均助攻2.4次,场均盖帽0.13个,投篮命中率为39.3%,罚球命中率为78.7%,场均得分5.7分,场均篮板1.8个,场均抢断0.60次,三分命中率为29.5%,职业生涯场均出战18.1分钟,职业生涯每赛季场均出场53场,NULL,1.88米/6尺2,埃利-奥科博,2,G,本年薪金：万美元,菲尼克斯太阳,82公斤/180磅
场均助攻1.6次,场均盖帽0.85个,投篮命中率为42.0%,罚球命中率为81.2%,场均得分9.0分,场均篮板3.5个,场均抢断0.97次,三分命中率为40.0%,职业生涯场均出战25.4分钟,职业生涯每赛季场均出场62场,2年3000万美元，2019年夏天签，2021年到期,1.98米/6尺6,丹尼-格林,14,G-F,本年薪金：1463万美元,洛杉矶湖人,98公斤/215磅
场均助攻1.3次,场均盖帽0.05个,投篮命中率为42.1%,罚球命中率为87.7%,场均得分5.9分,场均篮板1.0个,场均抢断0.37次,三分命中率为39.5%,职业生涯场均出战12.7分钟,职业生涯每赛季场均出场32场,NULL,1.88米/6尺2,吉默-弗雷戴特,32,G,本年薪金：万美元,菲尼克斯太阳,88公斤/195磅
场均助攻0.4次,场均盖帽0.44个,投篮命中率为58.4%,罚球命中率为75.0%,场均得分5.3分,场均篮板4.5个,场均抢断0.30次,三分命中率为25.0%,职业生涯场均出战12.2分钟,职业生涯每赛季场均出场46场,NULL,2.06米/6尺9,谢赫-迪亚洛,14,F,本年薪金：万美元,菲尼克斯太阳,100公斤/220磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,2.06米/6尺9,卡梅伦-约翰逊,23,G,本年薪金：万美元,菲尼克斯太阳,95公斤/210磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.96米/6尺5,泰-杰罗姆,10,G,本年薪金：万美元,菲尼克斯太阳,91公斤/200磅
场均助攻7.4次,场均盖帽0.13个,投篮命中率为39.2%,罚球命中率为84.2%,场均得分11.4分,场均篮板4.2个,场均抢断1.88次,三分命中率为32.7%,职业生涯场均出战30.7分钟,职业生涯每赛季场均出场63场,NULL,1.93米/6尺4,里基-卢比奥,11,G,本年薪金：万美元,菲尼克斯太阳,86公斤/190磅
场均助攻2.1次,场均盖帽0.46个,投篮命中率为43.0%,罚球命中率为80.5%,场均得分8.3分,场均篮板3.2个,场均抢断1.57次,三分命中率为33.5%,职业生涯场均出战29.5分钟,职业生涯每赛季场均出场82场,NULL,2.01米/6尺7,米卡尔-布里奇斯,25,F,本年薪金：万美元,菲尼克斯太阳,95公斤/209磅
场均助攻1.8次,场均盖帽0.28个,投篮命中率为30.3%,罚球命中率为81.2%,场均得分4.4分,场均篮板1.7个,场均抢断0.67次,三分命中率为33.3%,职业生涯场均出战14.8分钟,职业生涯每赛季场均出场39场,2年226万美元，2018年夏天签，2020年夏天到期,1.88米/6尺2,杰文-卡特,4,G,本年薪金：142万美元,菲尼克斯太阳,91公斤/200磅
场均助攻2.1次,场均盖帽0.22个,投篮命中率为43.8%,罚球命中率为84.8%,场均得分12.6分,场均篮板6.2个,场均抢断0.62次,三分命中率为36.8%,职业生涯场均出战27.1分钟,职业生涯每赛季场均出场66场,4年1075万美元，2016年夏天签，2020年夏天到期。,2.08米/6尺10,达里奥-沙里奇,20,F,本年薪金：348万美元,菲尼克斯太阳,101公斤/223磅
场均助攻1.6次,场均盖帽0.38个,投篮命中率为41.9%,罚球命中率为76.0%,场均得分9.8分,场均篮板4.0个,场均抢断0.47次,三分命中率为34.9%,职业生涯场均出战22.2分钟,职业生涯每赛季场均出场70场,2年1000万美元，2019年夏天签，2021年到期,2.13米/7尺0,弗兰克-卡明斯基,8,F-C,本年薪金：476万美元,菲尼克斯太阳,109公斤/240磅
场均助攻0.8次,场均盖帽0.51个,投篮命中率为49.3%,罚球命中率为80.1%,场均得分5.5分,场均篮板4.6个,场均抢断0.22次,三分命中率为25.5%,职业生涯场均出战15.6分钟,职业生涯每赛季场均出场63场,2年1065万美元，2018年夏天签,2.08米/6尺10,阿隆-贝恩斯,46,C-F,本年薪金：545万美元,菲尼克斯太阳,118公斤/260磅
场均助攻2.5次,场均盖帽0.47个,投篮命中率为43.1%,罚球命中率为77.5%,场均得分11.1分,场均篮板3.3个,场均抢断0.92次,三分命中率为36.2%,职业生涯场均出战27.1分钟,职业生涯每赛季场均出场49场,4年5000万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项，15%的交易保证金,1.93米/6尺4,泰勒-约翰逊,16,G,本年薪金：1963万美元,菲尼克斯太阳,84公斤/186磅
场均助攻1.8次,场均盖帽0.94个,投篮命中率为58.5%,罚球命中率为74.6%,场均得分16.3分,场均篮板10.3个,场均抢断0.86次,三分命中率为0%,职业生涯场均出战30.7分钟,职业生涯每赛季场均出场71场,4年4037万美元，2018年夏天签，2022年夏天到期，2020-21赛季及2021-22赛季球队选项,2.16米/7尺1,德安德烈-艾顿,22,C,本年薪金：956万美元,菲尼克斯太阳,118公斤/260磅
场均助攻1.0次,场均盖帽0.48个,投篮命中率为42.4%,罚球命中率为78.6%,场均得分10.7分,场均篮板4.0个,场均抢断0.92次,三分命中率为32.5%,职业生涯场均出战24.0分钟,职业生涯每赛季场均出场63场,2年3000万美元，2019年夏天签，2021年夏天到期,2.01米/6尺7,凯利-乌布雷,3,F,本年薪金：1442万美元,菲尼克斯太阳,93公斤/205磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,2.01米/6尺7,埃里克-帕斯卡尔,7,F,本年薪金：万美元,金州勇士,115公斤/253磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.85米/6尺1,凯-鲍曼,NULL,G,本年薪金：万美元,金州勇士,85公斤/188磅
场均助攻0.3次,场均盖帽0.17个,投篮命中率为49.2%,罚球命中率为57.4%,场均得分3.8分,场均篮板2.6个,场均抢断0.20次,三分命中率为35.3%,职业生涯场均出战11.1分钟,职业生涯每赛季场均出场33场,2年277万美元，2018年夏天签，2020年夏天到期,2.03米/6尺8,阿方索-麦金尼,28,F,本年薪金：142万美元,金州勇士,98公斤/215磅
场均助攻0.5次,场均盖帽0.15个,投篮命中率为43.4%,罚球命中率为72.4%,场均得分4.1分,场均篮板1.9个,场均抢断0.40次,三分命中率为36.1%,职业生涯场均出战13.5分钟,职业生涯每赛季场均出场34场,1年188万美元，2019年夏天签，2020年夏天到期,1.98米/6尺6,格伦-罗宾逊三世,22,G-F,本年薪金：188万美元,金州勇士,101公斤/222磅
