calorie,name
热量：46 大卡(每100克),茶碗蒸海鲜
热量：119 大卡(每100克),"薯仔寿司，又叫洋芋寿司,土豆寿司"
热量：168 大卡(每100克),玉子烧，又叫厚蛋烧
热量：140 大卡(每100克),自制寿司，又叫紫菜包饭
热量：126 大卡(每100克),山药寿司
热量：220 大卡(每100克),牛油焗鲑鱼
热量：118 大卡(每100克),虾仁蔬菜三明治
热量：181 大卡(每100克),土豆可乐饼
热量：82 大卡(每100克),菊之南瓜汤，又叫菊花豆腐南瓜汤
热量：231 大卡(每100克),抹茶红豆果子，又叫和菓子，和果子，麻薯
热量：154 大卡(每100克),日式披萨
热量：167 大卡(每100克),日式厚蛋
热量：97 大卡(每100克),梅子茶冻
热量：141 大卡(每100克),菠菜饭团
热量：320 大卡(每100克),鲷鱼烧（红豆馅）
热量：155 大卡(每100克),豆沙饭团（木糖醇代糖），又叫饭团
热量：115 大卡(每100克),鱼出没加州反卷寿司
热量：102 大卡(每100克),咖喱鸡块土豆
热量：58 大卡(每100克),素炒菜花
热量：71 大卡(每100克),肉片炒花菜
热量：94 大卡(每100克),韭菜炒鸡蛋
热量：152 大卡(每100克),茶叶蛋，又叫茶叶蛋
热量：94 大卡(每100克),丝瓜炒蛋
热量：90 大卡(每100克),肉丝茭白
热量：128 大卡(每100克),虾仁蒸肠粉
热量：79 大卡(每100克),肉片炒青椒
热量：262 大卡(每100克),五香鸭肉
热量：173 大卡(每100克),土豆烧肉
热量：39 大卡(每100克),辣椒清炒苦瓜
热量：588 大卡(每100克),炸花生米
热量：155 大卡(每100克),洋白菜包子
热量：86 大卡(每100克),鱼香茄子
热量：369 大卡(每100克),核桃酥
热量：10 大卡(每100克),无糖银耳汤
热量：42 大卡(每100克),蒜拌绿豆芽
热量：42 大卡(每100克),凉拌海带丝
热量：193 大卡(每100克),泡椒凤爪
热量：204 大卡(每100克),烤鸡翅
热量：62 大卡(每100克),青椒炒花菜
热量：13 大卡(每100毫升),无糖豆浆
热量：184 大卡(每100克),赤豆粽子，又叫红豆粽子、红豆粽
热量：141 大卡(每100克),红烧鲫鱼
热量：218 大卡(每100克),荞麦馒头
热量：224 大卡(每100克),红豆包，又叫豆沙包;豆包;粘豆包
热量：122 大卡(每100克),水煮鱼片
热量：402 大卡(每100克),水煮花生米
热量：411 大卡(每100克),维维嚼益嚼（葡萄干+花生）
热量：198 大卡(每100克),驴打滚
热量：468 大卡(每100克),达能 佳钙牛奶甜酥饼干牛奶口味
热量：408 大卡(每100克),牛奶饼干
热量：92 大卡(每100克),可康 果冻条（苦瓜味）
热量：400 大卡(每100克),旺旺雪饼（香辣味）
热量：555 大卡(每100克),薯片（香辣味）
热量：158 大卡(每100克),冰淇凌（脆皮甜筒）
热量：496 大卡(每100克),饼干（咸）
热量：427 大卡(每100克),月饼(枣泥)
热量：568 大卡(每100克),德芙 榛仁巧克力
热量：511 大卡(每100克),巧克力（果仁）
热量：397 大卡(每100克),鲜桃果汁糖
热量：581 大卡(每100克),财记 脆香花生酥
热量：543 大卡(每100克),德芙 牛奶巧克力和黑巧克力精巧装
热量：436 大卡(每100克),好丽友 蛋黄派（酸奶味）
热量：400 大卡(每100克),新家园 烤馍锅巴（比萨风味） 75g
热量：73 大卡(每100克),棒冰
热量：400 大卡(每100克),大白兔红豆奶糖
热量：435 大卡(每100克),月饼(百寿宴点)
热量：174 大卡(每100克),百乐宝 巧克力雪糕
热量：74 大卡(每100克),大雪糕
热量：463 大卡(每100克),饼干（苏打夹心）
热量：448 大卡(每100克),好丽友 蛋黄派[注心蛋黄派]
热量：91 大卡(每100克),和路雪 红豆冰棍 
热量：435 大卡(每100克),牛奶糖
热量：485 大卡(每100克),太平 梳打饼干海苔口味
热量：505 大卡(每100克),鸡汁味干脆面（面饼+调味料）
热量：447 大卡(每100克),蚕豆(炸)，又叫开花豆、胡豆、夏豆、罗汉豆
热量：516 大卡(每100克),巧克力（黑），又叫黑巧克力
热量：526 大卡(每100克),曲奇饼（加奶油）
热量：419 大卡(每100克),酥香兰花豆
热量：345 大卡(每100克),金色传奇鱿鱼丝（原味）
热量：242 大卡(每100克),麦当劳 薯条
热量：463 大卡(每100克),雪米饼
热量：347 大卡(每100克),蛋糕（水果）
热量：436 大卡(每100克),酥糖
热量：395 大卡(每100克),水晶糖
热量：270 大卡(每100克),海苔
热量：308 大卡(每100克),麦当劳 脆薯饼
热量：546 大卡(每100克),曲奇饼
热量：437 大卡(每100克),蛋糕（巧克力）
热量：431 大卡(每100克),奶油饼干
热量：429 大卡(每100克),酥皮糕点
热量：120 大卡(每100克),和路雪绿豆妹妹冰棍
热量：283 大卡(每100克),面包条（白）
热量：298 大卡(每100克),肯德基 薯条
热量：387 大卡(每100克),爆米花
热量：483 大卡(每100克),桃酥
热量：333 大卡(每100克),时兴隆鱿鱼丝
热量：416 大卡(每100克),吉百利怡口莲
热量：314 大卡(每100克),智神 阿胶蜜枣
热量：369 大卡(每100克),蜜麻花
热量：455 大卡(每100克),混糖糕点
热量：173 大卡(每100克),冰淇凌（巧克力圣代）
热量：473 大卡(每100克),思朗 纤麸高纤消化饼
热量：430 大卡(每100克),韩国爆米花
热量：530 大卡(每100克),乐事薯片鲜浓番茄味
热量：361 大卡(每100克),月饼（奶油连芸）
热量：498 大卡(每100克),花生芝麻糖
热量：542 大卡(每100克),德芙 香浓黑巧克力
热量：482 大卡(每100克),夹心酥饼
热量：424 大卡(每100克),月饼(五仁)
热量：528 大卡(每100克),锅巴（豆香）
热量：554 大卡(每100克),锅巴（小米）
热量：548 大卡(每100克),薯片（烧烤味）
热量：47 大卡(每100克),冰棍
热量：360 大卡(每100克),板油酥饼
热量：575 大卡(每100克),巧克力(维夫)，又叫朱古力威化
热量：407 大卡(每100克),奶糖
热量：316 大卡(每100克),花茶（花茶本身），又叫香片、熏花茶、窨花茶
热量：24 大卡(每100毫升),胡萝卜汁饮料
热量：54 大卡(每100毫升),苹果汁饮料（光明牌）
热量：157 大卡(每100毫升),红果汁
热量：44 大卡(每100毫升),惠尔康谷粒谷力玉米南瓜浓浆
热量：137 大卡(每100毫升),自制蜂蜜柚子茶
热量：359 大卡(每100克),超模17 营养奶昔
热量：75 大卡(每100毫升),葡萄酒（干红，12%，张裕牌）
热量：31 大卡(每100毫升),蒙牛果蔬酸酸乳
热量：36 大卡(每100毫升),汇源橙汁饮料
热量：34 大卡(每100毫升),麒麟午后红茶奶茶饮料-低脂肪
热量：72 大卡(每100毫升),葡萄酒（干红，11.5%，长城牌）
热量：38 大卡(每100毫升),啤酒（4.3%，青岛牌）
热量：465 大卡(每100克),南国牌速溶椰子粉
热量：298 大卡(每100毫升),崇明老白酒，又叫烧酒、白干儿、火酒、烈性酒...
热量：52 大卡(每100毫升),酷儿香橙汁
热量：22 大卡(每100毫升),可果美纯正番茄汁
热量：352 大卡(每100克),汉波红枣阿胶浓浆
热量：388 大卡(每100克),卡夫/Kraft 果珍（美国甜橙味）
热量：127 大卡(每100毫升),美雀思椰奶
热量：326 大卡(每100克),山楂果丹皮
热量：348 大卡(每100克),蛋糕
热量：506 大卡(每100克),沙琪玛蛋酥
热量：485 大卡(每100克),Easy Fun 高蛋白夹心卷（牛奶味）
热量：316 大卡(每100克),单层汉堡（单层肉饼，无调料酱）
热量：133 大卡(每100克),O'Day 高蛋白鸡胸肉肠，又叫鸡肉肠
热量：351 大卡(每100克),绿豆糕
热量：316 大卡(每100克),西式蛋糕
热量：295 大卡(每100克),野澤 猴肉（腊梅味） 
热量：371 大卡(每100克),山楂球
热量：39 大卡(每100毫升),巧克力豆奶
热量：393 大卡(每100克),大麦茶（茶叶本身）
热量：19 大卡(每100毫升),农夫茶龙井绿茶饮品-低糖
热量：250 大卡(每100克),味佳牌蜂蜜柚子茶
热量：58 大卡(每100毫升),惠尔康 谷粒谷力燕麦浓浆
热量：406 大卡(每100克),柠檬茶（雀巢牌，固体饮料）
热量：38 大卡(每100毫升),汇源100%苹果汁
热量：41 大卡(每100毫升),美汁源 果粒橙
热量：18 大卡(每100毫升), 惠尔康谷粒谷力荞麦浓浆
热量：54 大卡(每100毫升),酸乳饮料
热量：417 大卡(每100克),超模25 咖啡蛋白饮
热量：70 大卡(每100克),超模25 果蔬营养素（番茄味）
热量：53 大卡(每100毫升),喜乐(乳酸饮料)
热量：20 大卡(每100毫升),橙汁汽水
热量：313 大卡(每100克),咖啡豆
热量：29 大卡(每100毫升),十全苹果醋
热量：48 大卡(每100毫升),维他奶原味豆奶饮料（低脂肪）
热量：30 大卡(每100毫升),七喜
热量：44 大卡(每100毫升),橙汁饮料（光明牌）
热量：15 大卡(每100毫升),康师傅 绿茶（低糖）
热量：366 大卡(每100克),超模25 营养可可
热量：0 大卡(每100克),Easy Fun 路易波士茶
热量：0 大卡(每100克),Easy Fun 纯马黛茶
热量：366 大卡(每100克),超模25 营养饮（玉米蔬菜味）
热量：0 大卡(每100克),Easy Fun 玉米须茶
